file,category,domain,kb,selectors,important_count,import_order,risk_score,risk_level,risk_reasons
styles/runtime-overrides/09b-telegram-control-center-monitoring.css,runtime-override,Telegram,37.37,176,536,143,14,critical,runtime override imported after index.css; very high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/09c-telegram-template-center-cards.css,runtime-override,Telegram,35.34,163,540,144,14,critical,runtime override imported after index.css; very high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/09e-telegram-accordion-logs-modals.css,runtime-override,"Telegram, Modals",31.12,240,50,154,13,critical,runtime override imported after index.css; high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css,runtime-override,Telegram,24.85,147,439,115,13,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/08c-customers-partners-headers.css,runtime-override,"Partners, Customers, Header",22.03,103,343,139,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/05-mobile-phones.css,runtime-override,Mobile Phones,19.57,135,112,125,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css,runtime-override,"Sidebar, Dashboard, Settings",16.49,64,170,116,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07b-products-modal-responsive-polish.css,runtime-override,"Modals, Products",12.91,113,114,132,12,critical,runtime override imported after index.css; very high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/pages/telegram.css,page-domain,Telegram,60.89,320,263,23,11,critical,very high !important count; large selector surface; sensitive UI/business domain; large file >50KB; active imported CSS
styles/pages/reports.css,page-domain,Reports,58.98,366,355,21,11,critical,very high !important count; large selector surface; sensitive UI/business domain; large file >50KB; active imported CSS
styles/runtime-overrides/09a-telegram-settings-foundation.css,runtime-override,"Telegram, Settings",22.31,131,82,142,11,critical,runtime override imported after index.css; high !important count; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10b-finance-tables-density-system.css,runtime-override,Tables,16.77,62,179,156,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/08d-people-table-detail-contracts.css,runtime-override,"People, Tables",16.49,92,240,140,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/01b-people-foundation-after-fields.css,runtime-override,"People, Forms/Inputs",16.25,100,123,104,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/02c-repairs-apple-commercial.css,runtime-override,Repairs,14.62,78,151,107,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/04c-people-detail-pages.css,runtime-override,People,14.31,67,175,120,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/01a5-partner-command-detail-refinement.css,runtime-override,Partners,14.07,87,265,100,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/07a-products-modal-precision-cleanup.css,runtime-override,"Modals, Products",10.98,55,105,131,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css,runtime-override,Telegram,10.94,35,169,153,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/01a4-people-detail-repair-header-filters.css,runtime-override,"People, Header, Repairs, Filters",9.43,52,181,99,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d1-telegram-studio-filter-controls.css,runtime-override,"Telegram, Filters",8.62,45,139,145,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/04d-people-add-edit-modals.css,runtime-override,"People, Modals",7.98,45,105,121,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css,runtime-override,Telegram,7.41,24,165,152,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css,runtime-override,Telegram,6.99,31,108,146,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/08b-message-composer-controls.css,runtime-override,General/System,21.57,112,79,138,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06a-enterprise-actions-fields-validation.css,runtime-override,Forms/Inputs,16.76,83,86,126,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06c-reports-consolidation-filters.css,runtime-override,"Reports, Filters",13.0,83,18,128,9,high,runtime override imported after index.css; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/07c-product-modal-apple-redesign.css,runtime-override,"Modals, Products",12.62,89,20,133,9,high,runtime override imported after index.css; medium selector surface; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/06d-kpi-navigation-density-mobile.css,runtime-override,Navigation,12.51,76,94,129,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css,runtime-override,General/System,12.29,74,56,130,9,high,runtime override imported after index.css; high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/02b-settings-telegram-compact.css,runtime-override,"Telegram, Settings",8.55,32,90,106,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02a-reports-apple-minimal.css,runtime-override,Reports,8.44,44,32,105,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03c-notifications-sidebar-smartbrain.css,runtime-override,Sidebar,7.11,36,76,114,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/01a3-settings-adaptive-sidebar-cleanup.css,runtime-override,"Sidebar, Settings",6.44,47,34,98,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/02g-telegram-real-compact-patch.css,runtime-override,Telegram,6.41,39,78,111,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10f-sidebar-final-polish.css,runtime-override,Sidebar,4.26,24,49,160,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/03b-reports-mobile-settings-smoke.css,runtime-override,"Reports, Settings",3.99,19,40,113,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d7-telegram-monitor-card-standard.css,runtime-override,Telegram,3.52,14,73,151,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css,runtime-override,Telegram,3.14,11,76,150,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d5-telegram-lower-stat-cards.css,runtime-override,Telegram,3.06,12,69,149,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
