selector,occurrences,file_count,categories,domains,risk_score,files
:root,30,23,component-shared | entry-orchestrator | legacy-split | other | runtime-override,"Buttons | Dashboard, Charts | Forms/Inputs | General/System | Modals",12,index.css | styles/components/unified-buttons.css | styles/components/unified-fields.css | styles/global.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/07b-legacy-premium-button-unification.css | styles/legacy/08a-legacy-global-field-system.css | styles/legacy/08b-legacy-global-card-section-system.css | styles/legacy/08c-legacy-global-table-row-actions.css | styles/legacy/09a-legacy-global-modal-drawer-unification.css | styles/legacy/09b-legacy-global-toast-alert-status.css | styles/legacy/09c-legacy-global-nav-sidebar-topbar.css | styles/legacy/09d-legacy-global-charts-kpi-dashboard.css | styles/legacy/10a-legacy-final-shell-cohesion.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.ux-btn__content,7,7,component-shared | legacy-split | runtime-override,"Buttons | People, Forms/Inputs | Reports, Sales/Cart, Buttons, Filters",11,styles/components/unified-buttons.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/05a-legacy-button-icon-baseline.css | styles/legacy/05d-legacy-report-filter-sales-mobile-buttons.css | styles/legacy/07b-legacy-premium-button-unification.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
".phone-edit-horizontal-form .phone-identity-block--edit .phone-identity-block__grid, .phone-edit-horizontal-form .phone-finance-block--edit .phone-finance-block__grid",6,3,component-shared | legacy-split | runtime-override,"Forms/Inputs | Mobile Phones | Mobile Phones, Modals",11,styles/components/unified-fields.css | styles/legacy/10f-legacy-phone-edit-horizontal-modal.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
".installment-form-page .installment-clean-select, .installment-form-page select.installment-clean-select",5,3,component-shared | legacy-split | runtime-override,Forms/Inputs | Mobile Phones,11,styles/components/unified-fields.css | styles/legacy/10e-legacy-installment-combobox-phone-edit-vertical.css | styles/runtime-overrides/10a-installments-phone-edit-overrides.css
100%,17,8,core-foundation | legacy-split | runtime-override,Buttons | Forms/Inputs | General/System | Tables,10,styles/core/animations.css | styles/core/utilities.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/03g-legacy-dark-tables-loading-progress.css | styles/legacy/04c-legacy-motion-focus-accessibility.css | styles/legacy/04d-legacy-field-attention-page-actions.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
0%,14,7,core-foundation | legacy-split | runtime-override,Buttons | Forms/Inputs | General/System,10,styles/core/animations.css | styles/core/utilities.css | styles/legacy/01-legacy-app-base-and-loaders.css | styles/legacy/02g-legacy-ux-button-core-loading.css | styles/legacy/04c-legacy-motion-focus-accessibility.css | styles/legacy/04d-legacy-field-attention-page-actions.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
#telegram-settings-form .telegram-monitor-v2-action,10,6,runtime-override,"Telegram | Telegram, Filters",10,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-actions-grid,9,4,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-template-mode-buttons,9,3,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css
.phone-table-action-btn,8,3,runtime-override,"General/System | Modals, Products",9,styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-action__value,8,6,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__copy,8,5,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
.premium-modal-shell .premium-form-grid,7,2,runtime-override,"Modals, Products",9,styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-action__icon,7,6,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__state,7,6,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__label,7,5,runtime-override,"Telegram | Telegram, Filters",9,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
.phone-addable-autocomplete__menu,6,3,runtime-override,"Mobile Phones | People, Forms/Inputs | Reports, Settings",9,styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css | styles/runtime-overrides/05-mobile-phones.css
